SERN
random Rates : 0.001 0.002 0.005 0.009 0.01 0.02 0.05 0.09 0.1 0.2 0.5 0.9 
15 perturbation point
Random Enactor, seed :32
PONE : Numerical Perturbator
1 sudoku grid 
Those grid are read from file in resources/sudoku/grid.txt
aggregate data per location for magnitude = 0.01
IndexLoc   #Success   #Failure   #Exception #Call      #Enaction  %Success                   
262        1          0          0          1          0          -------------------- 100,00
263        1          0          0          1          0          -------------------- 100,00
264        1          0          0          1          0          -------------------- 100,00
265        1          0          0          1          0          -------------------- 100,00
266        1          0          0          1          0          -------------------- 100,00
267        1          0          0          1          0          -------------------- 100,00
272        1          0          0          9          0          -------------------- 100,00
188        0          0          1          1185       9           0,00                      
189        0          0          1          289        2           0,00                      
191        1          0          0          1742       13         -------------------- 100,00
192        0          0          1          840        4           0,00                      
195        1          0          0          789        3          -------------------- 100,00
196        1          0          0          672        2          -------------------- 100,00
197        0          0          1          936        6           0,00                      
198        0          0          1          289        2           0,00                      
