aggregate data per location for magnitude = 0.009
SERN
37 perturbation point
Random Enactor, seed :32
PONE : Numerical Perturbator
1 arrays of 100 integers
Random integer generated with 23 as seed
IndexLoc   #Success   #Failure   #Exception #Call      #Enaction  %Success                   
303        0          0          1          90         1           0,00                      
304        0          0          1          90         1           0,00                      
305        0          0          1          90         1           0,00                      
306        0          0          1          90         1           0,00                      
307        0          0          1          90         1           0,00                      
308        0          0          1          90         1           0,00                      
309        0          0          1          90         1           0,00                      
310        0          0          1          90         1           0,00                      
311        0          0          1          90         1           0,00                      
312        0          0          1          90         1           0,00                      
313        0          0          1          302        2           0,00                      
314        0          0          1          304        2           0,00                      
316        0          0          1          403        2           0,00                      
317        0          0          1          420        2           0,00                      
318        0          0          1          423        2           0,00                      
320        0          0          1          474        2           0,00                      
321        0          0          1          474        2           0,00                      
322        0          0          1          471        2           0,00                      
324        0          0          1          212        1           0,00                      
325        0          0          1          212        1           0,00                      
327        0          0          1          181        1           0,00                      
328        0          0          1          177        1           0,00                      
329        0          0          1          90         1           0,00                      
330        0          0          1          90         1           0,00                      
332        0          0          1          45         0           0,00                      
333        0          0          1          45         0           0,00                      
334        0          0          1          89         1           0,00                      
335        0          0          1          90         1           0,00                      
337        0          0          1          44         0           0,00                      
338        0          0          1          44         0           0,00                      
339        0          0          1          182        1           0,00                      
340        0          0          1          182        1           0,00                      
341        0          0          1          181        1           0,00                      
342        0          0          1          178        1           0,00                      
343        0          0          1          182        1           0,00                      
344        0          0          1          181        1           0,00                      
345        0          0          1          182        1           0,00                      
